naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Frederik Hendrickx,Q72431111,,,,,,1973,
Hendrik Hendrickx,,,,,,,1913,1976
Elbert Hennipman,Q18985426,,,,,,1937,
Zeger Hens,Q88385432,,,,,,1972,
Jean Hermans,,,,,,,1874,1946
Karel Heynderickx,Q41885755,,,,,,1875,1962
Marcel Hoebeke,Q49996222,,,,,,1918,1990
Richard Hoogenboom,Q40694791,,,,,,1978,
Joseph Hoorens,,,,,,,1928,2017
Véronique Hoste,Q55233496,,,,,,1972,
Kurt Houf,Q88438394,,,,,,1970,
Eugenia Houvenaghel,Q55232148,,,,,,1972,
Lesley Hustinx,Q55232118,,,,,,1975,
Geert Huys,Q42871457,,,,,,1970,
John Huys,,,,,,,1936,
Max Ittenbach,,,,,,,1907,
Antoon Jacob,Q30223459,,,,,,1889,1947
Etienne Jacobs,,,,,,,1939,2017
John Jacobs,,,,,,,1924,2019
Sophie Janssens,Q91808396,,,,,,1973,
Lotte Jensen,Q28934579,,LotteJensen2016.jpg,Lotte Jensen,,,1972,
André Jolles,Q105457,,,,,,1874,1946
Koenraad Jonckheere,Q55233198,,,,,,1975,
Alfons Jonckx,Q2834821,,,,,,1872,1953
Rita Jongbloet-Hamerlynck,Q55233618,,,,,,1936,
Wout Joseph,Q55233284,,,,,,1977,
Maurits Josson,Q41623418,,,,,,1855,1926
Sandro Jung,Q55232105,,,,,,1976,
Tessa Kerre,Q88702936,,,,,,1972,
Karel Kersters,Q55233176,,,,,,1938,
Reimond Kimpe,Q1947913,,,Reimond Kimpe,,,1885,1970
André Kint,Q55232705,,,,,,1929,2013
Julien Klener,Q3189543,,,,,,1939,
Paul Kluyskens,Q55232253,,,,,,1923,2012
Mirjam Knockaert,Q55233512,,,,,,1975,
Daphne Kos,Q55233234,,,,,,1973,
Ernst Ferdinand Kossmann,Q90779707,,,,,,1861,1945
Ernst H.W. Koster,Q57053089,,,,,,1978,
Ludwig Krämer,Q6699267,,Schermafbeelding 2020-09-22 om 13.40.23.png,,,,1939,
Marc Kunnen,Q55233614,,,,,,1934,
Johan Labberton,Q51078147,,,Johan Labberton,,,1877,1955
Eric Laermans,Q99732351,,,,,,1971,
Fernand Lambein,Q55231998,,,,,,1938,2020
Peter Lambert,,,,,,,1978,
Hendrik Lambotte,Q55233107,,,,,,1925,2011
Daniël Lambrecht,Q55232638,,,,,,1933,2021
Mohamed Lamkanfi,,,,,,,1978,
Pierre Lammens,Q55233510,,,,,,1762,1836
Ole Lando,Q1366975,,,,,,1922,
Roger Langohr,Q55233052,,,,,,1939,
Ernst Laqueur,Q104369,,Ernst Laqueur 07-1935.jpg,Ernst Laqueur,,,1880,1947
Jacques Laruelle,Q55232316,,,,,,1928,1967
Stéphanie Laurent,,,,,,,1970,
Peter Lauwers,Q52187054,,,,,,1974,
Baz Lecocq,Q55233204,,,,,,1970,
Victor Leemans,Q129273,,Victor Leemans.jpg,,,,1901,1971
Walter Leën,Q55233588,,,,,,1907,1990
Dries Lesage,Q55232462,,,,,,1976,
Louis Libbrecht,Q88593320,,,,,,1973,
Filip Lievens,Q48357545,,,,,,1971,
Jan Lindemans,Q56036052,,,,,,1888,1963
Veerle Linseele,Q55233255,,,,,,1978,
Bart L Loeys,Q38642270,,,,,,1970,
Chia Longman,Q55233643,,,,,,1972,
Patrick Loobuyck,Q55232028,,,,,,1974,
Frank Loontiens,Q55232852,,,,,,1938,
Stanley Luchters,Q59565805,,,,,,1972,
Sabien Lust,Q55233082,,,,,,1970,
Lutz Mackensen,Q1407636,,,,,,1901,1992
Annemieke Madder,Q48270119,,,,,,1970,
Broos Maenhout,Q86257277,,,,,,1980,
Greet Maenhout,,,,,,,1970,
Bjorn Maes,Q58326329,,,,,,1978,
Hans Maes,,,,,,,1989,
Anne-Leen Maes,Q52635478,,,,,,1978,
Mara Manente,Q55233170,,,,,,1978,
Kathleen Marchal,Q38318457,,,,,,1972,
Marcus Mareel,Q55231987,,,,,,1938,
Daniele Marinazzo,Q24174820,,,,,dan_marinazzo,1977,
An Martel,Q87618898,,,,,,1976,
Adriaan Martens,Q1917975,,,,,,1885,1968
Gunther Martens,Q55232953,,,,,,1976,
Laurent Martens,Q18691595,,,,,,1938,
Lennart Martens,Q42647916,,,,,,1978,
Jozef Martin,,,,,,,1906,1980
Katrijn Maryns,Q55233610,,,,,,1976,
Jozef Maton,Q50310178,,,,,,1933,
Michel Maus,Q55232703,,,,,,1970,
Hippoliet Meert,Q2011915,,,,,,1865,1924
Jules Mees,Q28678477,,,,,,1876,1937
Mira Meeus,Q37840019,,,,,,1981,
Björn Menten,Q28354338,,,,,,1978,
Paul Menzerath,Q55233249,,,,,,1883,1954
Yvette Merchiers,Q55232424,,,,,,1935,
Bart Merci,Q55232710,,,,,,1975,
Bruno Merlevede,Q55233321,,,,,,1976,
Robert Mertens,,,,,,,1921,2006
Miguel Meuleman,Q55233291,,,,,,1979,
Philip Meuleman,Q42716541,,,,,,1975,
Filip Meysman,Q55233004,,,,,,1970,
Marcel Minnaert,Q543383,,Marcel Minnaert.jpg,Marcel Minnaert,,,1893,1970
Roland Minne,,,,,,,1931,2008
Tom Moens,Q55233499,,,,,,1970,
Beatrijs Moerkerke,Q91283365,,,,,,1978,
Jan Moerman,,,,,,,1925,2020
Agnes Moors,Q60715080,,,,,,1971,
Sven Müller,,,,,,,1978,
Herman Mussche,Q55233361,,,,,,1928,2014
Mike Nachtegael,Q55232115,,,,,,1976,
Karel Neels,Q55232706,,,,,,1973,
Jacques Nenquin,Q55232279,,,,,,1925,2002
Ingmar Nopens,Q55232293,,,,,,1976,
Herlinde Noppe,Q114432521,,,,,,1979,
Piet Nuten,Q52224570,,,,,,1913,1970
René Nyssen,Q18611126,,,,,,1891,1972
Max Oboussier,Q50942299,,,,,,1888,1935
Stijn Oosterlynck,Q55233412,,,,,,1979,
Jan Op De Beeck,,,,,,,1938,
Jan Orbie,Q55232958,,,,,,1978,
Koen Paemeleire,Q55233115,,,,,,1970,
Mario Pandelaere,Q55232080,,,,,,1970,
Frank Pasmans,Q55232846,,,,,,1974,
Christophe Pattyn,Q95967937,,,,,,1971,
Johan Paul,,,,,,,1976,
Frans Pauwels,,,,,,,1927,2002
Lieven Pauwels,Q55233586,,,,,,1974,
Valentijn Pauwels,Q55233405,,,,,,1971,
Frank Peelman,Q91160880,,,,,,1970,
Gert Peersman,Q22002051,,,,,GertPeersman,1973,
Maurice Pensaert,Q55233580,,,,,,1938,
Nina Peršak,Q55233593,,,,,,1975,
Guido Persoone,Q55232304,,,,,,1938,
Jacques Petit,,,,,,,1927,2008
Karel Petit,,,,,,,1909,1995
Pierre Phariseau,Q102268426,,,,,,1931,
Renaat Philippaerts,Q55232796,,,,,,1970,
Antoon Picard,Q51037840,,,,,,1884,1949
Mario Pickavet,Q55232573,,,,,,1973,
Maud Piers,Q55232979,,,,,,1978,
Kris Pint,,,,,,,1981,
Ann Pisman,Q55233672,,,,,,1971,
Ivan Pollet,Q55232905,,,,,,1972,
Bruce Poppe,Q114166160,,,,,,1971,
Gilles Pourtois,Q55233042,,,,,,1974,
Walter Prevenier,Q2035449,,,,,,1934,
Greta Proost,Q55232023,,,,,,1937,
Julien Quackelbeen,Q55233620,,,,,,1935,2016
Birger Raa,,,,,,,1979,
Korneel Rabaey,Q30112616,,,,,,1977,
Robrecht Raedt,Q87110933,,,,,,1980,
Katleen Raes,Q55232885,,,,,,1974,
Timothy Raeymaekers,Q55232124,,,,,,1975,
Peter Ragaert,Q55233054,,,,,,1978,
Paul Remy,Q2061857,,,,,,1919,1979
Erich Roehr,Q55233394,,,,,,1905,1943
Günther Roelkens,Q55232106,,,,,,1979,
Frank Roels,Q55232812,,,,,,1937,
Hendrik Roels,,,,,,,1928,2017
Hendrik Rogier,Q57007740,,,,,,1971,
Georges Rolly,,,,,,,1934,
Pieter Rombouts,,,,,,,1971,
Frederik Ronsse,Q55232981,,,,,,1978,
Henk Roose,Q99573533,,,,,,1974,
Yves Rosseel,Q20528442,,,,,,1971,
Sylvie Rottey,Q91034447,,,,,,1972,
Raoul Rottiers,Q55233286,,,,,,1938,
Adolphe Roussel,Q2115681,,,,,,1809,1875
Nicole Rowan,Q55233516,,,,,,1938,2011
Magdalena Rysselaere,Q55232063,,,,,,1934,
Herman Sabbe,Q2508294,,,,,,1937,
Gabriel Sanders,Q55232734,,,,,,1923,1994
Niek N Sanders,Q89779601,,,,,,1974,
Mara Santi,Q55232700,,,,,,1973,
Gerrit Sarens,Q55233225,,,,,,1981,
Hans Saveyn,Q55233676,,,,,,1975,
Savvas Savvides,Q55233185,,,,,,1972,
Jozef Schalck,Q55233385,,,,,,1933,2021
Niceas Schamp,Q18689520,,Niceas Schamp 2015.jpg,,,,1937,
Jeroen Scheerder,Q55232628,,,,,,1974,
Jozef Schell,Q462051,,Marc van Montagu and Jozef Schell.jpg,Jozef Schell,,,1935,2003
,,,Jozef Schell (1993).jpg,,,,,
Eric Schliesser,Q55232991,,,,,,1971,
Ger Schmook,Q42899787,,,Ger Schmook,,,1898,1985
Eric Schoofs,,,,,,,1932,
Guy Schrans,Q5622588,,,,,,1937,2018
Benjamin Schrauwen,Q107743600,,,,,,1978,
An Schrijvers,,,,,,,1977,
Tom Schrijvers,,,,,,,1978,
Bart Sijnave,Q95974493,,,,,,1973,
Maria Simons,,,,,,,1939,2012
Wilfried Smekens,Q55232500,,,,,,1938,
Philippe F Smet,Q38545452,,,,,pfsmet,1979,
Julia Snell,Q112557667,,,,,,1979,
Bart Soenens,Q53342540,,,,,,1978,
Carolina De Maegd-Soëp,Q15640221,,,,,,1934,2012
Dirk Somers,Q55232034,,,,,,1976,
Bodil Sommer,Q55232350,,,,,,1938,
Stefan Sottiaux,Q55233108,,,,,,1976,
Pieter Spanoghe,Q58065176,,,,,,1975,
Steven Staelens,Q48210525,,,,,,1978,
Christel Stalpaert,Q55233554,,,,,,1971,
Heidi Steendam,Q89551446,,,,,,1972,
Reinhard Steennot,Q55233373,,,,,,1975,
Franz Steinbach,Q1449156,,,Franz Steinbach,,,1885,1964
Kathy Steppe,Q55232867,,,,,,1977,
Marjan Sterckx,Q55233158,,,,,,1978,
Sigrid Sterckx,Q55232354,,,,,,1972,
Peter Stevens,,,,,,,1976,
Kristof Steyvers,Q55232283,,,,,,1979,
Birger Stichelbaut,Q55232889,,,,,,1982,
Georges Stoops,Q55232542,,,,,,1937,2022
Marcel Storme,Q1860771,,,,,,1930,2018
Carolina Stromboli,Q55232579,,,,,,1975,
Dirk Stroobandt,Q55233116,,,,,,1972,
Jos Stryckers,Q55232862,,,,,,1921,2002
Pieter Tack,Q41883469,,,,,,1870,1943
Kurt Tackenberg,Q1794151,,,,,,1899,1992
Miriam Taverniers,Q55233209,,,,,,1974,
Carel ten Horn,,,,,,,1884,1964
Piet Termonia,,,,,,,1971,
Koen Thas,Q55232138,,,,,,1977,
Olivier Thas,Q55221789,,,,,,1971,
Roger Thibau,Q55232558,,,,,,1920,2005
Michel Thiery,,,,,,,1924,2020
Jacques Thomas,,,,,,,1928,2018
John Thompson,,,,,,,1977,
Joris Thybaut,Q55232588,,,,,,1975,
Kurt Tournoy,Q55232645,,,,,,1971,
Guy T'Sjoen,Q62518600,,,,,,1970,
Lucien Vakaet,Q55233288,,,,,,1926,1996
Josua Valeton,,,,,,,1883,1953
Kamiel Van Acker,Q55233712,,,,,,1914,2018
Stefan Van Aelst,Q55232212,,,,,,1974,
Elisabeth Van Aken,Q92635126,,,,,,1972,
Sofie Van Bauwel,Q55233094,,,,,,1972,
Roy van Beek,Q55232461,,,,,,1977,
Antoine van Bilsen,Q2603599,,,,,,1913,1996
Jean van Bladel,Q55232030,,,,,,1922,2018
Emiel Van Bockstaele,Q51037830,,,,,,1870,1954
Anne-Laure Van Bruaene,Q55232544,,,,,,1975,
Achiel Van Cauwenberghe,Q55232933,,,,,,1935,
Willem Van Cotthem,Q55232654,,,,,,1934,
Wim van Criekinge,Q47497353,,,,,,1971,
Hendrik Van Daele,Q55233565,,,,,,1930,
Stefaan Van Damme,Q44414569,,,,,,1976,
Albert van den Brande,Q50825565,,,,,,1890,1964
Bart Van de Putte,Q55231966,,,,,,1973,
Eric Van de Velde,Q55233566,,,,,,1925,2010
Freek Van de Velde,Q55232438,,,,,,1979,
Adelbert Van de Walle,Q2352918,,AVdWalle.jpg,,,,1922,2006
Gerlinde R Van de Walle,Q88220497,,,,,,1975,
Rik Van de Walle,Q41900756,,Rik Van De Walle mh 2018.jpg,Rik Van de Walle,,,1970,
Nico Van de Weghe,Q47014239,,,,,,1973,
Tom Van de Wiele,Q30112615,,,,,,1977,
Adolf Van den Berghe,,,,,,,1865,1916
August Van Den Brande,Q55232228,,,,,,1930,2020
Jozef Van den Brande,Q55019949,,,Jozef Van den Brande,,,1899,1989
Wim Van den Broeck,Q56296503,,,,,wv012,1970,
Daniël Van den Bulcke,Q55232587,,,,,,1939,
Hugo Van den Enden,Q1994350,,Hugo Van den Enden ethicus.jpg,Hugo Van den Enden,,,1938,2007
Yves Van der Stede,Q110833409,,,,,,1973,
Marcel Van Der Straeten,Q55232690,,,,,,1924,2015
Paul A.J.B. Van der Veken,Q19002860,,,,,,1928,2012
Rik Van Deun,Q40932085,,,,,,1974,
Arjan Van Dixhoorn,Q55232985,,,,,,1973,
Maarten Van Dyck,Q55233616,,,,,,1976,
Peter Van Eenoo,Q14084105,,,,,PeterVanEenoo,1973,
Romain Van Eenoo,Q3090590,,,,,,1934,
Veerle Van Eetvelde,Q55647349,,,,,,1973,
Peter Van Elsuwege,Q55232182,,,Peter Van Elsuwege,,,1978,
Nanja van Geel,Q89738899,,,,,,1972,
Kevin Van Geem,Q2565916,,,,kevin-van-geem-207a612,,1977,
Walter Van Gerven,Q3565908,,,,,,1935,2015
Angelo Van Gorp,Q55232543,,,,,,1972,
Ann van Griensven,Q51375556,,,,,,1970,
Koen Van Herck,Q40112422,,,,,,1972,
Jan Van Holder,,,,,,,1908,1980
Roel Van Holen,Q114370736,,,,,,1979,
Jan Van Hoof,,,,,,,1939,
Bob Van Hooland,Q21623623,,,,,,1937,
Mieke Van Houtte,Q55232025,,,,,,1971,
Filip Van Immerseel,Q55233311,,,,,,1975,
Peter Van Impe,,,,,,,1974,
Frans Van Isacker,Q2194298,,,,,,1920,2000
Hilde Van Keer,Q55232721,,,,,,1974,
Constant Van Kerckhoven,,,,,,,1933,1976
Vera Van Lancker,Q55232807,,,,,,1971,
Louis Van Leemput,Q55232869,,,,,,1919,
Geert van Loo,Q81204658,,,,,,1971,
Herman Van Looy,Q55232659,,,,,,1922,2003
Louis Van Loy,,,,,,,1911,1954
Marcel Van Miegroet,Q55232395,,,,,,1922,2011
Jean-Baptiste Van Mons,Q445843,,Van Mons - Porträt.jpg,Jean-Baptiste Van Mons,,,1765,1842
,,,Jean Baptiste Madou05.jpg,,,,,
Marc Van Montagu,Q972958,,Marmont675.jpg,Marc Van Montagu,,,1933,
Peter Van Nuffelen,Q55232916,,,,,,1976,
Hans Van Oosterwyck,Q41048182,,,,,,1972,
Wim Van Paepegem,Q58332160,,,,,,1975,
Ellen Van Praet,Q55232068,,,,,,1970,
Timothy Van Renterghem,Q55232594,,,,,,1976,
Willy Van Rijckeghem,Q2624446,,,,,,1935,
Jan Van Rompaey,,,,,,,1935,1981
David Van Rooij,Q56296415,,,,,,1976,
Robert Van Roosbroeck,Q27903962,,,,,,1898,1988
Alfons Van Roy,Q51037851,,,Alfons Van Roy,,,1882,1927
Jacques Van Schoor,Q55232376,,,,,,1939,
René Van Sint-Jan,Q55232925,,,,,,1887,1970
Marcel Van Spaandonck,Q55232042,,,,,,1925,2008
Veronique Van Speybroeck,Q63374383,,,,,,1974,
Jo Van Steenbergen,Q55233695,,,,,,1975,
Christiaan Van Sumere,Q55232987,,,,,,1929,2018
Dries Van Thourhout,Q55233078,,,,,,1972,
Filip Van Tricht,Q55233283,,,,,,1975,
Frieda Van Tyghem,Q55231986,,,,,,1933,
Bartel Van Waeyenberge,Q55232896,,,,,,1973,
Valère Vanacker,Q55232899,,,,,,1921,1999
Dries Vande Ginste,Q87977981,,,,,,1977,
Gudrun Vande Walle,Q55233649,,,,,,1971,
An Vandebosch,,,,,,,1979,
Linos Vandekerckhove,Q41564602,,,,,,1973,
Wim Vandekerckhove,Q55233399,,,,,,1971,
Wim Vanden Berghe,Q58665216,,,,,,1970,
Steven Vanden Broecke,Q55232613,,,,,,1971,
Bart Vandenabeele,Q55232224,,,,,,1970,
Peter Vandenabeele,,,,,,,1974,
Stefaan Vandenberghe,,,,,,,1973,
Frederik Vandendriessche,Q55233476,,,,,,1974,
Klaas Vandepoele,Q30089993,,,,,,1978,
Heidi Vander Bauwhede,Q55233495,,,,,,1973,
Ferdinand Vanderhaeghen,Q2065109,,Ferdinand Vander Haeghen.jpg,Ferdinand Vanderhaeghen,,,1830,1913
Freya Vander Laenen,Q55233330,,,,,,1972,
Wouter Vanderplasschen,Q55232074,,,,,,1974,
Steven Vanderputten,Q55232046,,,,,,1976,
Katrien Vanderwee,Q55232815,,,,,,1975,
Jo Vandesompele,Q19856758,,,,jvdesomp,jvdesomp,1974,
Aline Vandevelde,Q49150113,,,,,,1930,2013
Stijn Vandevelde,Q55232901,,,,,,1976,
Gaston Vandewalle,Q55233549,,,,,,1923,
Daniël Vangroenweghe,Q22002057,,,,,,1938,
Lynn Vanhaecke,Q39032420,,,,,,1981,
Cléry Vanhelleputte,Q55232847,,,,,,1933,
Stijn Vanheule,Q22583059,,,,stijn-vanheule-840a2047,StijnVanheule,1974,
Bartel Vanholme,Q55233433,,,,,,1976,
Michel Vanhoorne,Q22912914,,,,,,1935,
Mario Vanhoucke,Q55233685,,,,,,1973,
Kurt Vanhoutte,Q52471810,,,,,,1971,
Fernand Vanmassenhove,Q55232830,,,,,,1936,2004
Tijl Vanmeirhaeghe,,,,,,,1976,
Bruno Vanobbergen,Q3347793,,"Bruno Vanobbergen, kinderrechtencommissaris.jpg",,,,1972,
Stijn Vansteelandt,Q37067381,,,,,,1976,
Ghislain Vansteenkiste,Q55232446,,,,,,1939,2010
Maarten Vansteenkiste,Q61722978,,,,,,1977,
Nadine Vanwelkenhuyzen,Q13216612,,Nadine Van Welkenhuysen.JPG,,,,1970,
Marc Vanwormhoudt,Q55233339,,,,,,1933,2006
Ernst Verbeek,Q66360951,,,,,,1919,
Frans Verbeek,,,,,,,1929,2008
Wim Verbeke,Q39904456,,,,,,1970,
Annemieke T. Verbeken,Q21611640,,,,,,1970,
Kim Verbeken,Q61334277,,,,,,1977,
Christophe Verbruggen,Q55233050,,,,,,1976,
Cyriel Verbruggen,Q55232464,,,,,,1938,
Peter Verdée,Q55233245,,,,,,1982,
Peter Verdonk,Q52912619,,,,,,1974,
Ann Verdoodt,Q55233294,,,,,,1976,
Tom Verguts,Q45896549,,,,,,1972,
Sofie Verhaeghe,Q79373643,,,,,,1971,
Dieter Verhaest,Q55232320,,,,,,1978,
Kris Verheyen,Q55233112,,,,,,1974,
Walter Verheyen,Q19979553,,,,,,1932,2005
Niko Verhoest,Q55232547,,,,,,1970,
Geert Verhoeven,Q55233452,,,,geert-verhoeven-9061354,,1978,
Elsy Verhofstadt,Q55233585,,,,,,1978,
Lesley L Verhofstadt,Q93388323,,,,,,1975,
Albert Verkinderen,Q55233279,,,,,,1915,1995
Arne Verliefde,Q55233425,,,,,,1981,
Karim Vermaelen,Q92259919,,,,,,1971,
An Vermeersch,,,,,,,1975,
Charles Vermeersch,Q18015130,,,,,,1934,2010
Etienne Vermeersch,Q1371565,,Etienne Vermeersch 675.jpg,Etienne Vermeersch,,,1934,2019
Iris Vermeir,Q92282348,,,,,,1973,
Alex Vermeulen,Q55990205,,,,,,1927,
Hans Vernaeve,Q102391258,,,,,,1976,
Isabel Verniers,Q55232508,,,,,,1982,
Telesphorus Vernieuwe,Q51002235,,,,,,1857,1933
Alfons Verplaetse,Q2521512,,Fons verplaetse-1602852523.jpg,Fons Verplaetse,,,1930,
Gerd Verschelden,Q55233531,,,,,,1975,
Jacques Versieck,Q55232595,,,,,,1936,1997
Jan Versluys,Q1682315,,,Jan Versluys,,,1873,1939
Frank Verstraete,Q5490109,,Frank Verstraete.jpg,,,,1972,
Raymond Vervliet,Q55232026,,,,,,1939,
Albert Vlamynck,Q51089508,,,,,,1886,1947
Walter Vlassenbroeck,Q55233435,,,,,,1934,2022
Jules Voets,Q55232281,,,,,,1923,1976
Auguste Voisin,Q18612679,,Portret van Auguste Voisin.jpeg,Auguste Voisin,,,1800,1843
Eveline Volcke,Q55232826,,,,,,1976,
Johan Vollgraff,Q55232603,,,,,,1877,1965
Kristl Vonck,Q91984769,,,,,,1973,
Edmond Voordeckers,Q55232483,,,,,,1931,2013
Hendrik Vos,Q3088743,,,,,,1972,
Henk Vrielinck,Q49167838,,,,,,1974,
Jacques Vrijens,Q55232923,,,,,,1938,
Antoon Vrints,Q55232948,,,,,,1978,
Karel Vuylsteek,Q55233151,,,,,,1922,2014
David R. Vyncke,Q102286044,,,,,,1976,
Frans Vyncke,Q55231963,,,,,,1920,2013
Joris Walraevens,Q55233450,,,,,,1974,
Ellen Wayenberg,Q55233375,,,,,,1976,
Bert Weijters,Q55233592,,,,,,1976,
Willy Welvaert,Q55096417,,,,,,1922,2018
Roger Wieme,Q55232648,,,,,,1923,2013
Annick Willem,Q112564547,,,,,,1973,
Jacques Willems,Q42299361,,Jacques Willems Te Deum.jpg,,,,1939,
Emil Wolff,Q1337019,,,,,,1879,1952
Frans Wuytack,Q102123019,,,,,,1916,1979
Sami Zemni,Q18434887,,,,,,1972,
Andries Zuiderhoek,Q55232530,,,,,,1976,
Elizabeth Amann,Q21258994,,,,,,1975,
Sofie Bekaert,Q114442836,,,,,,1972,
Dominique Vandijck,Q55233706,,,,,,1976,
Frédéric Lynen,Q42864253,,,,,,1974,
Sara Willems,Q57273780,,,,,,1977,
Petra Van Damme,Q30112480,,,,,,1978,
Julie De Backer,Q39402441,,,,,,1970,
Hannelore Denys,Q88257791,,,,,,1972,
Anja Geerts,Q95949623,,,,,,1974,
Tom Vanacker,Q58160282,,,,,,1981,
Jan Van Looy,,,,,,,1977,
Stijn Joye,Q55233596,,,,,,1981,
June Eyckmans,Q55232408,,,,,,1972,
Pieter Verdegem,Q55231982,,,,,,1979,
Rino Morent,Q58338521,,,,,,1978,
Nicolas Le Thomas,Q55232525,,,,,,1974,
Edouard Brainis,Q88962381,,,,,,1976,
Marco Formisano,Q55232488,,,,,,1971,
Ilse Derluyn,Q55233277,,,,,,1977,
Tom Daems,Q55232884,,,,,,1978,
Filip Vandenbussche,Q87950068,,,,,,1976,
Klaus Bacher,,,,,,,1977,
Arne Roets,Q40367602,,,,,,1980,
Griet Glorieux,Q60975420,,,,,,1970,
Tom Taghon,Q88702932,,,,,,1975,
Steven Callens,Q55205158,,,,,,1972,
Fransiska Malfait,Q42456881,,,,,,1975,
Steven Weyers,Q90752435,,,,,,1970,
Geert Hommez,Q57105205,,,,geert-hommez-1938056,,1973,
Bieke Lambert,Q96106509,,,,,,1976,
Ann Van Hecke,Q87805695,,,,,,1973,
Lieven Clement,Q55232995,,,,,,1977,
Karen Caeyenberghs,Q55630187,,,,,,1982,
Frederik Gailly,Q58191979,,,,,,1979,
Mattias Desmet,Q89544275,,,,,,1976,
Bruno De Geest,Q55231999,,,,,,1980,
Kathleen Van Craenenbroeck,Q49041201,,,,,,1973,
Peter Sergeant,Q100423896,,,,,,1978,
Joris Voets,Q55233121,,,,,,1975,
Annelore Deprez,Q55232999,,,,,,1978,
Toon Verstraelen,Q49034129,,,,,,1980,
Benoit Bakeroot,Q101047481,,,,,,1975,
Fredie Floré,Q55232682,,,,,,1974,
Bert De Coensel,Q60729544,,,,,,1979,
Steven Sleutel,Q55233343,,,,,,1978,
Tania Maes,Q39812087,,,,,,1972,
Tanja Van Hecke,Q91089261,,,,,,1973,
Jinske Verhellen,Q55233207,,,,,,1970,
Marleen De Troch,Q21340513,,,,marleen-de-troch-35228343,,1973,
Tom Loeys,Q73454881,,,,,,1974,
Liesbeth Jacxsens,Q55232787,,,,,,1974,
Jan Mertens,,,,,,,1972,
Kris Audenaert,Q55233127,,,,,,1974,
Tom Mestdag,Q102268534,,,,,,1976,
Michael Monte,,,,,,,1974,
Wouter Davidts,Q55233180,,,,,,1974,
Bertel De Groote,Q55233626,,,,,,1971,
Filip Van Nieuwerburgh,Q37615915,,,,,,1976,
Barbara Cagnie,Q55233648,,,,,,1977,
Björn Heindryckx,Q92515333,,,,,,1976,
Bernard De Clerck,Q55233149,,,,,,1976,
Koen Inghelbrecht,Q55232938,,,,,,1976,
Ellen Moens,,,,,,,1976,
Dries Verlet,Q55232348,,,,,,1977,
Diederik Rousseau,Q55232134,,,,,,1976,
Geert Castryck,Q55233168,,,,,,1974,
Thomas Van Leeuwen,Q43273318,,,,,,1976,
Christophe Stove,Q40479091,,,,,,1976,
Bart De Pauw,Q2673056,,Bart De Pauw.jpg,Bart De Pauw,,,1973,
Ingrid De Poorter,Q55233039,,,,,,1977,
Arnaud Szmalec,Q55232435,,,,,,1976,
Gilles-Maurice De Schryver,Q55233658,,,,,,1971,
Johan M Winne,Q57036541,,,,,,1978,
Veronique Stove,Q92518564,,,,,,1977,
Tine Willems,Q43415149,,,,,,1978,
Ans Baeyens,Q90377492,,,,,,1976,
Yvan Saeys,Q48577555,,,,,,1977,
Erik Meers,,,,,,,1976,
Arne Dormaels,Q55231980,,,,,,1977,
Elie Verleyen,Q114339169,,,,,,1974,
Andy Wullaert,Q42598181,,,,,,1978,
Debby Laukens,Q42859973,,,,,,1977,
Sofie Verbrugge,Q55232902,,,,,,1978,
Els Clays,Q88234333,,,,,,1976,
Antoinette Verhage,Q55232472,,,,,,1977,
Veerle Boel,Q55232834,,,,,,1976,
Sebastian Desmidt,Q55232364,,,,,,1978,
Thijs R. A. Vandenbroucke,Q55233068,,,,,,1978,
Katrien Remaut,Q48358345,,,,,,1978,
Ken R Bracke,Q42407131,,,,,,1976,
Koen De Temmerman,Q55233493,,,,,,1979,
Baptist Liefooghe,Q49142186,,,,,,1978,
Jakob De Roover,Q113823593,,,,,,1975,
Kristel Crombé,Q55232092,,,,,,1978,
Sven Mangelinckx,Q88119877,,,,,,1978,
Roosmarijn E. Vandenbroucke,Q38547215,,,,,,1979,
Ive De Smet,Q42359995,,,,,,1978,
Tina Kyndt,Q56849903,,,,,,1978,
Heidi Mertes,Q48685758,,,,,,1979,
Wesley de Neve,Q60702680,,,,,,1980,
Matthieu De Beule,Q91315307,,,,,,1978,
Jeroen Hoebeke,,,,,,,1979,
Tom E. Claessens,Q49136050,,,,,,1977,
Steven Maere,Q40464536,,,,,,1976,
Joke Baeck,Q55233145,,,,,,1979,
Maarten Van Den Driessche,Q55232459,,,,,,1979,
Griet Roets,Q55233359,,,,,,1977,
Andreja Rajkovic,Q43077936,,,,,,1975,
Thibaut Van Zele,Q62081933,,,,,,1977,
Hilde Lapeere,Q91534619,,,,,,1977,
Hans Verbeeck,Q58426763,,,,,,1979,
Xin Yin,Q83317386,,,,,,1977,
Ruben Vanderlinde,Q55232332,,,,,,1979,
Sofie Van Hoecke,Q45383073,,,,,,1979,
Stijn Speelman,Q55232850,,,,,,1979,
Bram Vannieuwenhuyze,Q55233360,,,,,,1980,
Lars Bernaerts,Q55233227,,,,,,1980,
Marianne Van Remoortel,Q55233280,,,,,,1981,
Carl Vangestel,Q93034911,,,,,,1975,
Ben Dhooge,Q55232099,,,,,,1980,
Isabel Leroux-Roels,Q90244771,,,,,,1978,
Tine Vervoort,Q93388320,,,,,,1977,
Olivier Vanakker,Q91623202,,,,,,1978,
