naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Ludo Milis,Q55232791,,,,,,1940,
Rudy Moenaert,Q55232917,,Rudy Moenaert - 2015.jpg,Rudy Moenaert,moenaert,moenaert,1961,
Marc Moeneclaey,Q55232388,,,,,,1955,
Anne-Marie Moens,,,,,,,,
Jan Moens,,,,,,,1963,
Luc Moens,Q2634882,,Luc Moens 2015.jpg,,moensluc,,1954,
Maurice Moens,Q55233421,,,,,,1946,
Yves Moens,Q55232637,,,,,,1949,
Ingrid Moerman,Q50923876,,,,,,1965,
Koenraad G Monsieurs,Q45366389,,,,,,1966,
Stan Monstrey,Q55233205,,,,,,1955,
Reginald Moreels,Q2128766,,,,,,1949,
Andreas Moritz,,,,,,,,
Geert Morthier,Q55232392,,,,,,1964,
Eric Mortier,Q55233567,,,,,,1959,
Freddy Mortier,Q3204681,,Freddy Mortier.jpg,,,,1958,
Geert Mortier,Q28354336,,,,,,1963,
Gerard Mortier,Q464662,,GerardMortier.jpg,Gerard Mortier,,,1943,2014
André Mottart,Q55232801,,,,,,1955,
Jacob Moulijn,Q55233652,,,,,,1942,
Philippe Muchez,Q55232150,,,,,,1962,
Henri Müller,,,,,,,,
Anne-Marie Musschoot,Q55233139,,,,,,1944,
Jan Muylle,Q55231965,,,,,,1955,
Jan Mys,,,,,,,1968,
Frank Naert,Q55232836,,,,,,1957,
Hans J Nauwynck,Q89863719,,,,,,1963,
Hans Nelis,Q55233085,,,,,,1951,
Kristiaan Neyts,Q58332173,,,,,,1964,
Andreas Niehaus,Q55232298,,,,,,1968,
Robert Nijsse,Q55231981,,,,,,1953,
Gijsbertus Nolst Trenité,Q55233390,,,,,,1944,
Jos Noordhuizen,Q55233047,,,,,,1947,
Jean-Marie Noterdaeme,Q55232951,,,,,,1954,
Charlotte Nys,Q87662340,,,,,,1964,
Jan Nyssen,Q53085436,,Jan Nyssen.jpg,Jan Nyssen,,,1957,
Frank Ödberg,,,,,,,1947,
Jan Olbrecht,Q55233194,,,,,,1958,
Henri Olivier,,,,,,,1947,
Femke Olyslager,Q55232707,,,,,,1966,2009
Eddy Omey,Q55233342,,,,,,1956,
Hubert Ooghe,Q55232714,,,,,,1946,
René Oosterlinck,Q11890572,,,,,,1944,
Willem Oosterlinck,Q89793799,,,,,,1944,
Geert Opsomer,Q91149905,,,,,,1965,
Geert Opsomer,Q53453203,,,,,,,
Rik Opsommer,Q23060001,,,,rik-opsommer-92b03a37,,1962,
Andreas Otte,Q55232089,,,,,,1967,
Roland Paemeleire,Q55233523,,,,,,1942,
Hilary J. Page,Q109204678,,,,,,1944,
Alexander V Panfilov,Q41048263,,,,,,1955,
Jean-Louis Pannier,Q55233259,,,,,,1943,
Christopher Parker,,,,,,,1967,
Roger Parmentier,,,,,,,,2008
Frank Pattyn,Q29033417,,Frank Pattyn.jpg,,,,1966,
Piet Pattyn,Q90922562,,,,,,1957,
Patrick Pauwels,Q55233386,,,,,,1958,
Romain Pauwels,Q55233380,,,,,,1943,2005
Luc Peelman,Q55233061,,,,,,1964,
Marc Peeters,Q38324454,,,,,,1965,
Renaat Peleman,Q57303206,,,,,,1960,
Reyes Peña-Santiago,Q21394967,,,,,,,
Martina Penke,Q73935607,,,,,,,
Jan Penning,,,,,,,1944,2019
Guido Pennings,,,,,,,1959,
Roland Perry,Q7360380,,,,,,1946,
Guido Petit,,,,,,,1954,
Roumen Petrov,Q55233489,,,,,,1958,
Mirko Petrovic,,,,,,,1959,
Dirk Pevernagie,Q55232514,,,,,,1958,
Katharina Pewny,Q55232533,,,,,,1967,
Jan Philippé,Q67773710,,,,,,1956,
Wilfried Philips,Q55233393,,,,,,1966,
Jan G. Pieters,Q43335524,,,,,,1968,
Jürgen Pieters,Q55232300,,,,,,1969,
Luc Pieters,Q40715645,,,,,,1960,
Herman Pieterse,Q55232048,,,,,,1953,
Michel Piette,,,,,,,1948,
Dorothy Pikhaus,Q55232691,,,,,,1948,
Rik Pinxten,Q2782081,,,,,,1947,
Greet Pison,Q102402312,,,,,,,
Aleksandra Pizurica,Q55232548,,,,,,1969,
Marc Plancke,Q55232571,,,,,,1942,2013
Patrick Plehiers,,,,,,,1963,
Jean Plum,,,,,,,1948,
Jan Poelaert,Q47297769,,,,,,1956,
Dirk Poelman,Q38545461,,,,,,1963,
Geert Poels,Q55233577,,,,,,1969,
Ingeborgh Polis,Q92590239,,,,,,1969,
Paul Ponsaers,Q55233200,,,,,,1952,
Danny Praet,Q55232344,,,,,,1968,
Marleen Praet,Q89430721,,,,,,1951,
Wolter Prins,Q55233560,,,,,,1951,
Roland Puystjens,Q55232273,,,,,,1944,
Ann Raes,Q88282817,,,,,,1965,
Koen Raes,Q22913069,,,,,,1954,2011
Karin Raeymaeckers Van De Wal,Q55233543,,,,,,1960,
Gerhard Rakhorst,Q21552198,,,,gerhard-rakhorst-25024722,,1946,
Salman Rawaf,Q55232550,,,,,,1948,
Glenn Rayp,Q55232857,,,,,,1962,
Dirk Reheul,Q55233320,,,,,,1957,
Jean Paul Remon,Q55233459,,,,,,1950,
Herwig Reynaert,Q55232163,,,,,,1966,
Joris Reynaert,Q55232819,,,,,,1945,
Marie-Françoise Reyniers,Q105953007,,,,,,1956,
Maria Riska,,,,,,,,
Paul Robbrecht,Q4429032,,Robbrecht Daem675.jpg,Paul Robbrecht,,,1950,
Paul Robbrecht,Q4429032,,Paul Robbrecht.jpg,,,,,
Eugeen Roegiest,Q55232677,,,,,,1946,
Nathalie Roelens,Q55233369,,,,,,1962,
Herbert Roeyers,Q30089996,,,,,,1964,
Jacques Rogge,Q182609,,14-01-10-tbh-263-jacques-rogge.jpg,Jacques Rogge,,,1942,
Jean Rogge,Q55233071,,,,,,1950,
Vera Rogiers,Q55231985,,,,,,1952,
Xavier Rogiers,Q47118440,,,,,,1956,2019
Isabel Roldán-Ruiz,Q47007070,,,,,,1965,
Alexander Roose,Q53092089,,,,,,1967,
Philip Roosen,Q55233571,,,,,,1961,
Guido Ros,,,,,,,1940,
Pierre Rouzé,Q114717806,,,,,,1946,
Da Ruan,Q5207305,,,,,,1960,2011
Dirk Ryckbosch,Q55233589,,,,,,1957,
Jan Ryckebusch,Q55232412,,,,,,1962,
Ilka Saal,Q55233199,,,,,,,
Ahti Saarenpää,Q23040025,,,,,,,
Koen Sabbe,Q55232341,,,,,,1968,
Xavier Saelens,Q8043303,,,,xaviersaelens,,1965,
Pieter Saey,Q55232863,,,,,,1942,
Frieda Saeys,Q22350893,,,,,,1948,2007
Wouter Saeys,Q40180263,,,,,,,
Nicole Samuel,,,,,,,,
Patrick Sandra,Q42097445,,Pat Sandra.jpg,,,,1946,
Patrick Santens,Q44490140,,,,,,1965,
Willy Sarlet,Q55232831,,,,,,1946,
Benedikt Sas,Q55232679,,,,,,1968,
Jimmy Saunders,Q55233635,,,,,,1965,
Wagdy Sawahel,Q55233615,,,,,,1964,
Etienne Schacht,Q55232683,,,,,,1946,2022
Robert Schalock,Q55232913,,,,,,1940,
Jürgen Schneider,,,,,,,,
Pierre Schoentjes,Q55233555,,,,,,1963,
Cornelia Schomaker,Q55232485,,,,,,1949,
Koen Schoors,Q17561104,,,,,,1968,
Angela Schottenhammer,Q21253491,,,,,,1964,
Gilberte Schuyten,Q55233273,,,,,,1942,
Danny Segers,Q55232739,,,,,,1951,
Patrick Segers,Q55232133,,,,,,1968,
Thomas Ulen,Q1559499,,,,,,1946,
Jilt Sietsma,Q55233244,,,,,,1956,
Paul Simoens,Q55232422,,,,,,1952,
Frank Simon,Q55944066,,,,,,1944,
Manuel Sintubin,Q55232653,,,,,,1964,
Andre G Skirtach,Q42880121,,,,,,1967,
Regine Slagmulder,Q55231995,,,,,,1966,
Remco Sleiderink,Q55233669,,,,,,1968,
Stef Slembrouck,Q55232962,,,,,,1963,
Guy Smagghe,Q55232471,,,,,,1968,
Klaas Smelik,Q47544635,,,,,,1950,
Frank Smets,Q15875350,,Professor Frank Smets - Practical Considerations of pan-European Supervision (cropped).png,Frank Smets,,,1964,
Koen Smets,,,,,,,1960,
Paulus Smeyers,Q55233083,,,,,,1953,
Stefaan Smis,Q55233365,,,,,,1968,
Meint Smit,Q55232521,,,,,,1951,
Sonja Snacken,Q17429341,,,Sonja Snacken,,,,
Gerardus Snik,Q55232893,,,,,,1950,
Karline Soetaert,Q55232058,,,,,,1961,
Ronald Soetaert,Q55232383,,,,,,1951,
Wim Soetaert,Q8023486,,,,wim-soetaert-96140b6,,1964,
Hugo Soly,Q55233574,,,,,,1945,
Eduard Somers,Q55233144,,,,,,1949,
Franciscus Sommen,Q55232504,,,,,,1956,
Edmund Sonuga-Barke,Q30003465,,,,,,1962,
Patrick Sorgeloos,Q55232478,,,,,,1948,
Henri Spanjers,Q55232355,,,,,,1957,
Anne-Marie Spanoghe,Q55233169,,,,,,1967,
