volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Adeline Blancquaert,Q64706424,,,Adeline Blancquaert - 2019.jpg,,,A_Blancquaert,,,Vlaams-Belang
Adrian De Weerdt,,,,,,,,Edegem,,CD&V
Agnes Abts,,,,,,,,Bierbeek,Lid van de Raad voor Maatschappelijk Welzijn,
Agnes Bruyninckx-Vandenhoudt,Q2826924,,,,,,,Brugge,Gemeenteraadslid,
Ahmet Koç,Q17381366,,,,,,,Limburg,Provincieraadslid,
Ahmet Yildirim,,,,,,,,Zele,Gemeenteraadslid,
Aïssatou Cissé,,,,,,,,Borgerhout,,Vooruit
Alain DE COSTER,,,,,,,,Koksijde,,Koksijde Vooruit
Alain Dumont,,,,,,,,Menen,Gemeenteraadslid,
Alain Top,Q5237918,,,,,,,Harelbeke,Burgemeester,sp.a/Groen
Albert Mariën,Q25621658,,,,,,,Boechout,Gemeenteraadslid,GEMEENTEBELANGEN
Albert Palmers,,,,,,,,Heusden-Zolder,Gemeenteraadslid,Nieuw HZ
Albert Vandezande,,,,,,,,Oud-Heverlee,Gemeenteraadslid,FUSIEBELANGEN
Alec Lamberts,,,,,,,,Temse,,TESAMEN
Alexander Wouters,,,,,,,,,,CD&V
Alfons Christiaensen,,,,,,,,Zoersel,Lid van de Raad voor Maatschappelijk Welzijn,
Alfons Matthys,,,,,,,,Aarschot,,CD&V
An Bogaert,,,,,,,,Horebeke,Lid van de Raad voor Maatschappelijk Welzijn,
An Boterman,,,,,,,,Waarschoot,Lid van de Raad voor Maatschappelijk Welzijn,
An Caerts,,,,,,,,Leopoldsburg,,CD&V
An Casteleyn,,,,,,,,Oostende,,CD&V
An Christiaens,Q17496898,anchristiaenstongeren,1281,An Christiaens.jpg,,,antongeren,Tongeren,Burgemeester,CD&V
André Decoster,,,,,,,,Gistel,Gemeenteraadslid,
Andre Degroote,,,,,,,,Avelgem,,CD&V
André De Groote,,,,,,,,Destelbergen,,
André Gantman,Q2228351,,,,,,,Antwerpen,,N-VA
André Govaerts,,,,,,,,Bekkevoort,Gemeenteraadslid,Open VLD
André Peeters,Q2675422,,,,,,,Aarschot,Burgemeester,CD&V
André Peters,,,,,,,,Wezembeek-Oppem,,LB-UNION
André Stevens,,,,,,,,Lochristi,,
André Uytterhoeven,,,,,,,,Putte,Gemeenteraadslid,Open VLD
André Van Den Steen,,,,,,,,Ninove,,Open VLD
André Van de Putte,,,,,,,,Kraainem,Gemeenteraadslid,
An Fremout,,,,,,,,Zomergem,Gemeenteraadslid,
An Geets,,,,,,,,Oud-Heverlee,,Onafhankelijk
An Haesebeyt,,,,,,,,Oosterzele,Lid van het Bijzonder Comité voor de Sociale Dienst,Open Vld plus
Anita Moens,,,,,,,,Willebroek,,Vooruit
An Kortleven,,,,,,,,Lommel,Lid van het Bijzonder Comité voor de Sociale Dienst,
An Lenaerts,,,,,,,,Balen,,CD&V
An Lovato,,,,,,,,Lennik,,Groen
Anna Touré,,,,,,,,Antwerpen,Districtsraadslid,Groen
Ann Baptist,,,,,,,,Genk,Gemeenteraadslid,N-VA
Ann De Martelaer,Q21993861,ann.demartelaer,,Ann De Martelaer.jpg,,anndemartelaer,,Vlaams-Brabant,Provincieraadslid,
Ann De Smedt,,,,,,,,Boom,,N-VA
Ann De Smet,,,,,,,,Zottegem,,CD&V
Anneke Matthys,,,,,,,,Merelbeke,,
Anneleen Van Bossuyt,Q18755697,,5612,,,,anneleen_vb,Gent,Lid van de Raad voor Maatschappelijk Welzijn,N-VA
Annelies Desmet,,,,,,,,Herne,Gemeenteraadslid,CD&V
Annelies Smets,,,,,,,,,,NV-A
Annelies Storms,Q2307059,,,,,,,Gent,,Vooruit
Anne Maertens,,,,,,,,Knokke-Heist,Gemeenteraadslid,N-VA
Anne-Marie Hoste,,,,,,,,Tielt,Lid van de Raad voor Maatschappelijk Welzijn,
Anne Mertens,,,,,,,,Merelbeke,Gemeenteraadslid,
Annemie Peeters,,,,,,,,Waasmunster,Lid van het Bijzonder Comité voor de Sociale Dienst,
Annemie Turtelboom,Q454893,ATurtelboom,32051,Annemie-turtelboom-1379350142.jpg,,,ATurtelboom,Antwerpen,,Open Vld
Anne Pattyn,,,,,,,,Knokke-Heist,,Fractie Gemeentebelangen
Anne Peeters,,,,,,,,Bornem,,Iedereen Bornem
Annette Palmers,,,,,,,,Heusden-Zolder,,CD&V
Annette Vogels,,,,,,,,Stekene,,Gemeentebelangen
Anne Vandeputte,,,,,,,,Lo-Reninge,,INSPRAAK
Anne Vincent,,,,,,,,Sint-Genesius-Rode,,
Ann Goethals,,,,,,,,Kuurne,Gemeenteraadslid,
Annick De Smet,,,,,,,,Turnhout,,sp.a
Annick Lambrecht,Q17836281,,,Annick Lambrecht.jpg,,,,Brugge,,Vooruit Brugge
Annick Ponthier,Q2851594,,,,,,AnnickPonthier,Bilzen,,VLAAMS BELANG
Annie Mathieu,,,,,,,,Sint-Pieters-Leeuw,,PF
Annik Olbrechts,,,,,,,,Haacht,,
Ann Martens,,,,,,,,Wingene,Lid van de Raad voor Maatschappelijk Welzijn,
Ann Soete,,,,,,,,Brugge,,Open VLD Plus
Ann Stevens,,,,,,,,Geraardsbergen,Lid van het Bijzonder Comité voor de Sociale Dienst,Open Vld
Ann Trappers,,,,,,,,Aarschot,Lid van de Raad voor Maatschappelijk Welzijn,Groen
Ann Van de Steen,Q15870043,,,,,,,Aalst,,LijstA
Ann Vanheste,Q2850424,,,,,,,De Panne,Burgemeester,DAS
Ann Vansteenkiste,Q2602521,,,,,,,Houthulst,Burgemeester,CD&V Plus
Ann Vervoort,,,,,,,,Heist-op-den-Berg,Lid van het Bijzonder Comité voor de Sociale Dienst,eta+
An Peeters,,,,,,,,Olen,,N-VA
An Poot,,,,,,,,Mechelen,,CD&V
An-Sofie D'Hondt,,,,,,,,Lede,,Groen
An Speeckaert,,,,,,,,Sint-Pieters-Leeuw,,CD&V
An Steppé,,,,,,,,Opwijk,Lid van het Bijzonder Comité voor de Sociale Dienst,
An Stokmans,,,,,,,,Kapellen,,Open VLD
An Stroobandt,,,,,,,,De Pinte,Lid van het Bijzonder Comité voor de Sociale Dienst,Ruimte
An Stuyck,,,,,,,,Wijnegem,,dorpspartij durf!
Anthony Dumarey,Q72099709,,,,,,,Oudenburg,Burgemeester,Open Vld
Antoine Denert,Q1837125,,,Denert nv a.jpg,Antoine Denert,,,Kruibeke,,D.E.N.E.R.T.
Antoine Pauwels,,,,,,,,Maldegem,,
Anton Geerts,,,,,,,,Antwerpen,Districtsraadslid,
Antonio Ventura,,,,,,,,Houthalen-Helchteren,,sp.a-Groen-Plus
Antoon De Baets,,,,,,,,Wachtebeke,,ANDERS
An Vandersteene,,,,,,,,Kortrijk,,
An Vermant,,,,,,,,Niel,,Open Vld
An Vervliet,,,,,,,,Oost-Vlaanderen,,N-VA
An Werst,,,,,,,,Galmaarden,,N-VA
An Wouters,,,,,,,,Lubbeek,,N-VA
An  Wouters,,,,,,,,Rijkevorsel,,N-VA
Arnold d'Oreye de Lantremange,Q2768000,,,,,,,Kraainem,,N-VA
Arnold Stael,,,,,,,,Gistel,,CD&V
Arnold Wittenberg,,,,,,,,Hoogstraten,,HOOGSTRATEN LEEFT
Arthur Van Laethem,,,,,,,,Lennik,Lid van de Raad voor Maatschappelijk Welzijn,
August Diels,,,,,,,,Nijlen,Gemeenteraadslid,Onafhankelijk
Auguste Simon,,,,,,,,Tongeren,,Open Vld
Augustin Feyens,,,,,,,,Kampenhout,Lid van het Bijzonder Comité voor de Sociale Dienst,Open VLD
August Mels,,,,,,,,Lokeren,Gemeenteraadslid,
August Michiels,,,,,,,,Haaltert,Gemeenteraadslid,
Axel Weydts,Q18818891,,,Axel Weydts.jpg,,,,Kortrijk,,Sp.a
Barbara Steeman,Q41779962,,,,,,,Lokeren,Gemeenteraadslid,
Bart Caron,Q2398086,bart.caron,3530,Bart Caron.jpg,,,bartcaron,Kortrijk,Gemeenteraadslid,
Bart Claes,,,,,,,,Ham,,Vlaams Belang
Bart Craane,Q98212942,,,,,,,Beerse,Burgemeester,CDE-Vlim.be
Bart De Keyser,,,,,,,,Hamme,Gemeenteraadslid,Groen
Bart DeKoning,,,,,,,,Moorslede,,PRO
Bart De Nijn,Q2344205,,,Bart De Nijn.png,,,,Mechelen,,N-VA
Bart De Schutter,,,,,,,,Puurs-Sint-Amands,,L.O.S.
Bart Dewaele,,,,,,,,Zwevegem,,CD&V
Bart De Wever,Q336599,,177846,BartDeWever.jpg,Bart De Wever,,Bart_DeWever,Antwerpen,Burgemeester,N-VA
Bart Dobbelaere,,,,,,,,Aalter,,Groen
Bart Dochy,Q2379319,,,Bart Dochy (8).jpg,Bart Dochy,,,Ledegem,Burgemeester,CD&V/VD
Bart Fransen,,,,,,,,Zutendaal,Gemeenteraadslid,Nieuw ZVP
Bart Goris,,,,,,,,Berendrecht-Zandvliet-Lillo,,PRO2040
Bart Gruyters,Q40165567,,,,,,,Herk-de-Stad,Burgemeester,CD&V
Bart Halewyck,Q2321995,,,,,,,Gistel,Burgemeester,CD&V
Bartholomeus Hermans,,,,,,,,Oud-Turnhout,,Groen
Bart Huybrechts,,,,,,,,Wijnegem,,VLAAMS BELANG
Bart Laeremans,Q2885864,,,,,,,Grimbergen,Burgemeester,Vlaams Belang
Bart Lambrecht,,,,,,,,Aartselaar,,N-VA
Bart Lambrechts,,,,,,,,Putte,,CD&V-GROEN PUTTE
Bart Maes,,,,,,,,Tienen,,CD&V
Bart Malfait,,,,,,,,Zwevegem,Gemeenteraadslid,CD&V
Bart Mertens,,,,,,,,Baarle-Hertog,,Forum+
Bart Michiels,,,,,,,,Herentals,,CD&V
Bart Moors,,,,,,,,Hasselt,,Open VLD
Bart Naeyaert,Q111462400,,,Foto Bart Naeyaert.jpg,,,,Torhout,,CD&V Torhout
Bart Nevens,Q17149626,,,Bart Nevens - 2019.jpg,,,,Kortenberg,,N-VA
Bart Peeters,,,,,,,,Rumst,,sp.a-Groen
Bart PIETERS,,,,,,,,Koksijde,,Koksijde Vooruit
Bart Sas,,,,,,,,,,Groen
Bart Segers,,,,,,,,Wichelen,,Samen
Bart Seldeslachts,Q26132833,,,,,,,Kontich,Burgemeester,N-VA
Bart Somers,Q15993,bart.somers1,27642,Bart Somers.jpg,Bart Somers,bart-somers-973809a2,BartSomers,Mechelen,Burgemeester,Vld-Groen-M+
Bart Sorée,Q63801359,,,,,,,Begijnendijk,,N-VA
Bart Stevens,,,,,,,,Heers,,VLDUMONT
Bart Thomas,,,,,,,,Tienen,,sp.a
Bart Tommelein,Q2701515,barttommelein,24481,Bart Tommelein verkiezingen2018 (cropped).jpg,Bart Tommelein,bart-tommelein-888b8b5,Barttommelein,Oostende,Burgemeester,Open VLD
Bart Van Couwenberghe,Q110727701,,,,,,,Hove,Burgemeester,N-VA
Bart Vandekerckhove,,,,,,,,Middelkerke,,OPEN DEINZE
Bart Van den Bergh,,,,,,,,Zandhoven,Gemeenteraadslid,N-VA
Bart Vandeput,,,,,,,,Kortessem,,sp.a
Bart Vander Elst,,,,,,,,Bertem,Gemeenteraadslid,GROEN
Bart Van de Walle,,,,,,,,Nevele,Gemeenteraadslid,
Bart Van de Water,,,,,,,,Horebeke,,Groen
Bart Van Hove,,,,,,,,Niel,,Onafhankelijk
Bart Van Hulle,Q101625544,,,,,,,Maldegem,Burgemeester,Open Vld
Bart Van Malderen,Q2885876,,,Bart van malderen-1455959512.JPG,,,,Dendermonde,Gemeenteraadslid,
Bart Verhaeghe,,,,,,,,Lichtervelde,,CD&V
Bart Verhoeven,,,,,,,,Lier,,Vlaams Belang
Bart Verstockt,Q96979655,,,,,,,Steenokkerzeel,,Groen
Bart Vyncke,,,,,,,,,,
Bart Willems,,,,,,,,Begijnendijk,,CD&V
Béatrice Bernard,,,,,,,,Wezembeek-Oppem,,LB-UNION
Benoît Valentin,,,,,,,,Tervuren,,Tervuren Unie
Ben Weyts,Q2271035,weytsben,48597,Informal Meeting of EU Tourism Ministers Handshake (40238420081) (cropped).jpg,Ben Weyts,,BenWeyts,Beersel,,N-VA
Bernard Lemaitre,,,,,,,,Haacht,,Groen
Bert Boel,,,,,,,,Hamme,Lid van het Bijzonder Comité voor de Sociale Dienst,Open VLD
Bert Cools,,,,,,,,Hemiksem,,N-VH
Bert Cornillie,Q112491470,,,,,,,,,Vooruit
Bert Deckers,,,,,,,,Balen,,VLAAMS BELANG
Bert De Wit,,,,,,,,Tremelo,Burgemeester,CD&V
Bert Dexters,,,,,,,,Maasmechelen,Gemeenteraadslid,N-VA
Bert Everaert,,,,,,,,Lint,,N-VA
Bert Francois,,,,,,,,Haacht,,N-VA
Bert Maertens,Q2503322,,2411,Bert Maertens - 2019.jpg,,,MaertensBert,Izegem,Burgemeester,N-VA
Bert Moyaers,Q23645428,,,Bert Moyaers.jpg,,,,Herk-de-Stad,Burgemeester,Vooruit
Bert Peeters,,,,,,,,Wommelgem,,Vlaams Belang
Bert Schoofs,Q2153006,,,Alexander de Croo - Lode Vereeck - Bert Schoofs.jpg,Bert Schoofs,,,Beringen,,VBLD
Bert Timmermans,,,,,,,,Tielt-Winge,,CD&V
Bert Vannieuwenhuyse,Q2097753,,,,,,,Wemmel,Gemeenteraadslid,Groen
Bert Wollants,Q2417142,,3840,,,,BertWollants,Lier,,N-VA
Bert Wouters,,,,,,,,Roeselare,,Groen
Bob Aerts,,,,,,,,Kasterlee,,
Bram Peters,,,,,,,,Tervuren,,Groen+
Bram Van Braeckevelt,Q89273048,,3571,Bram Van Braeckevelt.jpg,Bram Van Braeckevelt,,BramVB,Gent,,Groen
Brecht Vermeulen,Q17048132,,,Brecht Vermeulen - September 2016 (cropped).jpg,Brecht Vermeulen,,,Roeselare,,N-VA
Brecht Warnez,Q61741069,,,Brecht Warnez - Vlaams Parlement.jpg,,,,Wingene,,CD&V
Brent Meuleman,Q64667369,,,Brent Meuleman.jpg,Brent Meuleman,,,Zelzate,Burgemeester,Vooruit
Brigitte Caura,Q108154994,,,,,,,Temse,,TESAMEN
Brigitte Janssens,,,,,,,,Grimbergen,,Open Vld
Brigitte Smets,Q18088326,,,,,,,Limburg,,RoodGroen+Hasselt
Britt Stevens,,,,,,,,Lochristi,,
Britt Willems,,,,,,,,Boom,Gemeenteraadslid,Onafhankelijk
Bruno Peeters,,,,,,,,Steenokkerzeel,,N-VA
Bruno Steegen,Q2926994,,,,,,,Bilzen,Burgemeester,Open Vld
Bruno Stevenheydens,Q2926990,,,,,,,Beveren,,Beveren 2020
Bruno Stoffels,,,,,,,,Sint-Genesius-Rode,,RESPECT
Bruno Tobback,Q960356,,,Bruno Tobback Studio Vlaams Parlement.png,Bruno Tobback,,,,,Vooruit
Bruno Tuybens,Q2197763,,,,,,,Zwalm,Burgemeester,VoorZwalm
Camille Gutt,,,,,,,,Sint-Genesius-Rode,Gemeenteraadslid,IC-GB
Carina Van Cauter,Q2938795,,,Carina-van-tittelboom-van-cauter-1359732140.jpg,Carina Van Cauter,,,Oost-Vlaanderen,Gouverneur,
Carl Geeraerts,Q22927778,,,,,,,Berendrecht-Zandvliet-Lillo,Districtsburgemeester,N-VA
Carl Huybrechts,Q2377343,,,Carl Huybrechts (2020).jpg,Carl Huybrechts,,,Brasschaat,Gemeenteraadslid,N-VA
Carlo De Winter,,,,,,,,Wevelgem,,Groen
Caroline Aerts,,,,,,,,Meise,Lid van het Bijzonder Comité voor de Sociale Dienst,LB+
Caroline Bastiaens,Q2573005,,,,,,,Antwerpen,,CD&V
Caroline Martens,,,,,,,,Roeselare,,CD&V
Caroline Robberechts,,,,,,,,Asse,,Groen
Catherine De Smet,,,,,,,,Zulte,,CD&V
Catherine François,,,,,,,,Antwerpen,,Vlaams Belang
Catherine Hermans,,,,,,,,Kruibeke,,Onafhankelijk
Catherine Van de Heyning,Q105100065,,,,,,,Antwerpen,Districtsraadslid,
Cathy Coudyser,Q13457850,,1648,Cathy Coudyser.jpg,,,cathycoudyser,Knokke-Heist,,N-VA
Cevdet Er,,,,,,,,Maasmechelen,,CD&V
Chantal Francis,,,,,,,,Moerbeke,Gemeenteraadslid,
Chantal Jacobs,,,,,,,,Schelle,,N-VA
Charles Christiaens,,,,,,,,Sint-Gillis-Waas,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Charles Moyaerts,Q17429009,,,,,,,Gingelom,Burgemeester,sp.a - goesting
Charlotte Benoot,,,,,,,,Blankenberge,Gemeenteraadslid,
Charlotte Beyers,,,,,,,,,,N-VA
Charlotte Bongaerts,,,,,,,,Diepenbeek,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Charlotte Bonte,,,,,,,,Wevelgem,,N-VA
Charlotte Castelein,,,,,,,,West-Vlaanderen,,Lijst Burgemeester
Charlotte De Backer,,,,,,,,Oostende,,Open VLD
Charlotte Hollander,,,,,,,,Linkebeek,Gemeenteraadslid,ensembleLKBsamen
Chris Taes,Q2479960,,,,,,,Kortenberg,Burgemeester,CD&V
Christa Tuch,,,,,,,,Hasselt,Gemeenteraadslid,HELEMAAL HASSELT
Christel Geerts,Q2704168,,,,,,,Sint-Niklaas,,sp.a
Christel O,,,,,,,,Lennik,,N-VA - LENNIK²
Christiaan Janssens,,,,,,,,Zoersel,Lid van de Raad voor Maatschappelijk Welzijn,
Christian Boone,,,,,,,,Gavere,Gemeenteraadslid,
Christian Boute,,,,,,,,Nieuwpoort,,N-VA
Christiane Bert,,,,,,,,Roosdaal,,CD&V
Christian Legrand,,,,,,,,Wezembeek-Oppem,,
Christian Verougstraete,Q2965677,,,,,,,Oostende,,Vlaams Belang
Christina Wagner,,,,,,,,Lier,,N-VA
Christine Bax,,,,,,,,Wachtebeke,,ANDERS
Christine Beirens,Q2679331,,,,,,,De Haan,,Open & N-VA
Christine Delaplace,,,,,,,,Spiere-Helkijn,,LB-2018
Christine Deschaumes,,,,,,,,Zwalm,Lid van de Raad voor Maatschappelijk Welzijn,
Christine De Smedt,,,,,,,,Londerzeel,,LWD
Christine Jacobs,,,,,,,,Rumst,,sp.a-Groen
Christine Lamal,,,,,,,,Huldenberg,Lid van de Raad voor Maatschappelijk Welzijn,
Christine Martens,Q108480395,,,,,,,Aalter (voor fusie),,
Christine Soudan,,,,,,,,Ronse,,sp.a
Christof Dejaegher,Q2370549,,,,,,,Poperinge,Burgemeester,
Christof Willem,,,,,,,,Izegem,Lid van de Raad voor Maatschappelijk Welzijn,
Christoph D'Haese,Q2305667,christoph.dhaese,,,Christoph D'Haese,,,Aalst,Burgemeester,N-VA
Christophe Carrette,,,,,,,,Sint-Genesius-Rode,Lid van de Raad voor Maatschappelijk Welzijn,
Christophe Clerc,,,,,,,,Moerbeke,Gemeenteraadslid,
Christophe De Graef,Q64137783,,,,,,,Diest,Burgemeester,Open Vld
Christophe Hendrickx,,,,,,,,Tienen,,Tienen Vooruit!
Christophe Huysman,,,,,,,,Lievegem,,Open Vld
Christophe Menu,,,,,,,,Zulte,Gemeenteraadslid,
Christophe Peeters,Q1828193,,,Schepen Christophe Peeters2.jpg,Christophe Peeters,,,Gent,,Open-Vld
Christophe Stienlet,Q2568653,,,Christophe-stienlet-1412262770.jpg,Christophe Stienlet,,,Mechelen,,vld-groen-m+
Christophe Thomas,,,,,,,,,,Open VLD
Christophe Verstraete,,,,,,,,Tielt,Lid van de Raad voor Maatschappelijk Welzijn,
Chris Van Haute,,,,,,,,Stabroek,,Open VLD
Cornelis Mertens,,,,,,,,Neerpelt,Gemeenteraadslid,sp.a
Cynthia Browaeys,Q17350483,,,,,,,Horebeke,Burgemeester,Volksbelangen
Damien Thiéry,Q2788852,,,,,,,Linkebeek,Burgemeester,ensembleLKBsamen
Daniel Abts,,,,,,,,Hoegaarden,Gemeenteraadslid,Open Vld
Danielle Godderis-T'Jonck,Q1870899,,,Danielle godderistjonck-1522509920.jpg,,,,Alveringem,Gemeenteraadslid,N-VA
Daniël Mattheus,,,,,,,,Tremelo,Gemeenteraadslid,Open Vld
Daniël Termont,Q12500,,,Verleihung Konrad-Adenauer-Preis der Stadt Köln 2017 an Liverpool-3695.jpg,Daniël Termont,,,Gent,Burgemeester,
Daniël Verstraete,,,,,,,,Oostrozebeke,,
Danny Pieters,Q163670,,,,,,,Leuven,Gemeenteraadslid,
Danny Praet,,,,,,,,Wichelen,,Samen
Danny Thijs,,,,,,,,Antwerpen,Provincieraadslid,
David Dupont,,,,,,,,Begijnendijk,,samen
David Geerts,Q3017951,,,,,,,Heist-op-den-Berg,,PRO Heist
David Pieters,,,,,,,,De Haan,,bewust
David Vercauteren,,,,,,,,Assenede,,SamenPlus
Davy Tuytens,Q1178426,,,,,,,Gavere,,
Denise Vandevoort,Q112327645,,,Denise Vandevoort.jpg,,,,Leuven,,Vooruit
Dennis Monte,,,,,,,,,,N-VA
Didier Thirion,,,,,,,,Heers,Lid van het Bijzonder Comité voor de Sociale Dienst,Hecht
Diederik Pattyn,,,,,,,,Izegem,,N-VA
Dieter Bellings,,,,,,,,Londerzeel,,
Dieter Beyers,,,,,,,,Kalmthout,,CD&V
Dieter De Mets,,,,,,,,Gavere,,Open Vld - VOG
Dieter Janssen,,,,,,,,Heers,,VLDUMONT
Dieter Peeters,,,,,,,,,,CD&V
Dieter Van Besien,Q64222331,dieter.vanbesien,,,,,dietervanbesien,Haacht,,Groen
Dieter Wouters,Q26212104,,,,,,,Wuustwezel,Burgemeester,CD&V
Dieudonné Horlait,Q17428317,,,,,,,Vlaams-Brabant,Provincieraadslid,
Dimitri Casteleyn,,,,,,,,Holsbeek,,sp.a
Dimitri Duran,,,,,,,,Lierde,,
Dirk Avonts,Q55233578,,,,,,,Antwerpen,,Groen
Dirk de Kort,Q2307678,,,Dirk-de-kort-1371622485.jpg,,,,Brasschaat,,CD&V
Dirk Duchateau,,,,,,,,Tongeren,,Groen
Dirk Fremaut,Q55233334,,,,,,,Glabbeek,Lid van de Raad voor Maatschappelijk Welzijn,
Dirk Geeraerts,,,,,,,,,,LIJST BURGEMEESTER
Dirk Martens,,,,,,,,Gavere,,CD&V
Dirk Otte,,,,,,,,Oost-Vlaanderen,,Open Vld
Dirk Peeters,Q2041977,,,Dirkpeeters vlaamsparlement.jpg,Dirk Peeters,,,Oud-Turnhout,Gemeenteraadslid,
Dirk Pieters,Q2144666,,,,,,,Halle,Burgemeester,CD&V
Dirk Proost,,,,,,,,Beerse,,BEERSEplus
Dirk Robbeets,Q1955645,,,,,,,Leuven,,sp.a
Dirk Rochtus,Q59139908,,2395,,,,DirkRochtus1,Mortsel,,N-VA
Dirk Smets,,,,,,,,Retie,,CD&V
Dirk Smits,,,,,,,,Zutendaal,,ZVP
Dirk Smout,,,,,,,,Essen,,N-VA/PLE
Dirk Snauwaert,,,,,,,,Meise,Gemeenteraadslid,Groen
Dirk Stallaert,,,,,,,,Buggenhout,,CD&V
Dirk Stroobandt,Q55233116,,,,,,,Deinze (voor fusie),,GroenRood
Dirk Thoelen,,,,,,,,Hasselt,,CD&V
Dirk Tuypens,Q2310781,,,,,,,,,Partij van de Arbeid
Dirk Uyttendaele,Q55232527,,,,,,,Wetteren,Gemeenteraadslid,Groen&Co
Dirk Verhaert,,,,,,,,Wijnegem,,VLAAMS BELANG
Dirk Walraet,Q2640508,,,,,,,Spiere-Helkijn,Burgemeester,LB-2018
Dominick Vansevenant,Q15874586,,,,,,,Keerbergen,Burgemeester,N-VA
Dominique Peeters,,,,,,,,,,N-VA
Dominique Willaert,Q52474039,,,Dominique Willaert 2011.jpg,Dominique Willaert,,,Lievegem,Lid van het Bijzonder Comité voor de Sociale Dienst,Groen
Dorien Cuylaerts,Q19949075,,,Dorien cuylaerts-1566456337.jpg,Dorien Cuylaerts,,,Rijkevorsel,Burgemeester,N-VA
Dorothée Cardon de Lichtbuer,Q66317895,,,,,,,Kraainem,Burgemeester,KU/LB
Dries Depoorter,,,,,,,,Gistel,,Open Vld
Eddy Couckuyt,Q13575352,,,,,,,Oost-Vlaanderen,,CD&V
Eddy De Herdt,Q26132824,,,Eddy de herdt-1540379247.JPG,,,,Hemiksem,,Hemiksem vooruit
Eddy Goethals,,,,,,,,Zuienkerke,,Lijst Burgemeester
Eddy Lust,Q83780946,,,,,,,Menen,Burgemeester,Open Vld
Eddy Timmermans,,,,,,,,Pepingen,Burgemeester,LVB-LIJSTvdBURGER
Edouard de Potter d'Indoye,Q75361086,,,,,,,Melle,Gemeenteraadslid,
Edward De Wit,Q13575401,,,,,,,Kapelle-op-den-Bos,Burgemeester,CD&V
Egbert Lachaert,Q15127115,,,Egbert lachaert-1614950992.jpg,Egbert Lachaert,,,Merelbeke,,Open VLD
Eline Peeters,,,,,,,,Brecht,,N-VA
Elisabeth De Wit,,,,,,,,Halen,Gemeenteraadslid,
Elisabeth Jans,,,,,,,,Hasselt,,N-VA
Elisabeth Joris,,,,,,,,Malle,,DBM
Elisabeth Meuleman,Q2400854,elisabeth.meuleman.1,7329,Elisabeth Meuleman Vlaams Parlement.png,,,Elisameuleman,,,Groen
Elisabeth van Gelder,,,,,,,,Drogenbos,,UF
Elke Bogaerts,,,,,,,,Schelle,Gemeenteraadslid,N-VA
Elke Tindemans,Q3051323,,,,,,,Edegem,Gemeenteraadslid,CD&V2650
Elke Wouters,Q59489376,,,,,,,Grimbergen,,N-VA
Ellen Brits,,,,,,,,Niel,,Open Vld
Ellen De Smet,,,,,,,,Brugge,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Ellen Stevens,,,,,,,,Edegem,,N-VA
Els De Groote,,,,,,,,Ninove,,
Else De Wachter,Q2611460,,,,,,,Kapelle-op-den-Bos,,sp.a
Els Kindt,Q2698649,,,,,,,Lichtervelde,,CD&V
Els Schelfhout,Q3051697,,,,,,,Hamme,Lid van de Raad voor Maatschappelijk Welzijn,
Els Sterckx,Q65266070,,,Els Sterckx - 2019.jpg,,,,Herentals,,VLAAMS BELANG
Els Sticker,,,,,,,,Poperinge,Gemeenteraadslid,
Els Vanderelst,,,,,,,,Wilrijk,Districtsraadslid,N-VA
Els van Weert,Q2723364,,,,,,,Lier,Gemeenteraadslid,Groen
Els Verhelst,,,,,,,,Koekelare,,Open Vld
Els Verté,,,,,,,,Laarne,,CD&V
Els Wets,,,,,,,,Liedekerke,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V Plus
Emiel Ravijts,Q13576612,,,,,,,Dendermonde,Gemeenteraadslid,
Emile Smets,,,,,,,,Hoboken,Districtsraadslid,Vlaams Belang
Emmanuel de Béthune,,,,,,,,Roosdaal,,CD&V
Emmily Talpe,Q18326075,,,Emmily talpe-1548425024.jpg,Emmily Talpe,,,Ieper,Burgemeester,Open Ieper
Erica Caluwaerts,Q110320136,,,,,,,Antwerpen,,Open VLD
Eric Constant,,,,,,,,Jabbeke,Gemeenteraadslid,
Eric De Vriendt,,,,,,,,Zwalm,Burgemeester,CD&V+
Eric Libert,Q3591244,,,,,,,Sint-Genesius-Rode,,IC-GB
Eric Martens,,,,,,,,Wellen,,sp.a-ROB
Eric Wauters,,,,,,,,Gent,,
Erik Gerits,Q48291959,,,,,,,Genk,,CD&V
Erik Tack,Q3056576,,,,,,,Ronse,,
Erik Winters,,,,,,,,,,N-VA
Erkan Öztürk,,,,,,,,Berchem,,sp.a - Groen
Ernest Smet,,,,,,,,Beveren,,CD&V Beveren
Esther Brands,,,,,,,,Kinrooi,,N-VA
Esther Engels,,,,,,,,Westerlo,Gemeenteraadslid,N-VA
Etienne Keymolen,Q51917141,,,,,,,Asse,Gemeenteraadslid,
Etienne Schouppe,Q464499,,,Etienne Schouppe (cropped).jpg,Etienne Schouppe,,,Liedekerke,,CD&V
Eva Martens,,,,,,,,Deinze,,GroenRood
