volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Luc Beyens,,,,,,,,Nieuwerkerken,Gemeenteraadslid,Onafhankelijk
Luc Bloemen,,,,,,,,Bree,,Verjonging
Luc Bouwen,,,,,,,,Arendonk,,CD&V
Luc Callens,,,,,,,,Knokke-Heist,,Fractie Vlaams Belang
Luc Claes,,,,,,,,Rumst,,Onafhankelijk
Luc Colla,,,,,,,,Zutendaal,,Nieuw ZVP
Luc De Block,,,,,,,,Lokeren,,Open Vld
Luc De Boeck,Q27826889,,,,,,,Bornem,Burgemeester,CD&V
Luc Deleu,,,,,,,,Dilbeek,,LvBurgemeester-VLD
Luc De Meyer,,,,,,,,Aalter,,CD&V/N-VA
Luc De Ryck,Q2328846,,,Luc De Ryck.jpg,,,,Temse,Burgemeester,CD&V
Luc De Vos,,,,,,,,Zelzate,Lid van de Raad voor Maatschappelijk Welzijn,
Luc Devriese,,,,,,,,Kapellen,,N-VA
Luc Haine,,,,,,,,Leuven,,
Luc Hermans,,,,,,,,Turnhout,,CD&V
Luc Huys,,,,,,,,Ruiselede,,RESPECT
Lucien Wolfs,,,,,,,,Diepenbeek,Lid van de Raad voor Maatschappelijk Welzijn,CD&V
Luc Janssens,Q2538935,,,Luc janssens-1530641686.jpg,Luc Janssens,,,Retie,,NIEUW RETIE
Luc Kennis,,,,,,,,Zoersel,,CD&V
Luc Lamine,Q2558702,,,,,,,,,Open VLD
Luc Lievens,,,,,,,,Meerhout,,Vooruit
Luc Maes,,,,,,,,Kortenberg,,CD&V / Burgemeester
Luc Nijs,,,,,,,,As,Gemeenteraadslid,CD&V
Luc Ooms,,,,,,,,Lommel,,CD&V
